y,u
10.5,23.68
11.5,23.65
12,23.75
12.5,23.72
12.9,23.57
13.3,23.03
13.7,22.77
14.1,22.17
14.5,21.63
14.9,20.51
15.3,19.23
15.7,17.87
16.1,17.39
16.5,17.63
16.9,18.56
17.3,20.01
17.7,21.32
18.1,21.86
18.5,22.55
18.9,22.85
19.3,23.21
19.7,23.57
20.1,23.57
20.5,23.75
20.9,23.86
21.5,23.79
22,23.75
23,23.75
